"","AREA","NAME","ABBREVNAME","FIPS_CODE","WB_CNTRY","OLYM","ATHL","Rank","Gold","Silver","Bronze","Total"
"97",226.072,"Algeria","Algeria",NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"98",215.77,"Anglo-Egyption Sudan","Sudan","SU","SDN",FALSE,NA,NA,NA,NA,NA,NA
"99",92.093,"Egypt","Egypt","EG","EGY",TRUE,1,NA,NA,NA,NA,NA
"100",125.553,"Libya","Libya","LY","LBY",FALSE,NA,NA,NA,NA,NA,NA
"101",35.558,"Morocco","Morocco","MO","MAR",FALSE,NA,NA,NA,NA,NA,NA
"102",3.634,"Spanish Morocco","Sp Morocco","MO","MAR",FALSE,NA,NA,NA,NA,NA,NA
"103",0,"Spanish Sahara","Sp Sahara",NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"104",0,"Rio De Oro","Rio De Oro",NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"105",15.932,"Gold Coast","Gold Coast",NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"106",8.241,"Togoland","Togoland","TO","TGO",FALSE,NA,NA,NA,NA,NA,NA
"107",69.939,"Nigeria","Nigeria","NI","NGA",FALSE,NA,NA,NA,NA,NA,NA
"108",34.377,"French Equatorial Africa","Fr Eq Africa","CF","COG",FALSE,NA,NA,NA,NA,NA,NA
"109",537.295,"French West Africa","Fr W Africa","GV","GIN",FALSE,NA,NA,NA,NA,NA,NA
"110",67.252,"Kamerun","Kamerun",NA,"CMR",FALSE,NA,NA,NA,NA,NA,NA
"111",81.456,"German E. Africa (Tanganyika)","Tanganyika",NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"112",53.528,"British East Africa","E Africa",NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"113",22.922,"Uganda","Uganda","UG","UGA",FALSE,NA,NA,NA,NA,NA,NA
"114",0,"British Somaliland","Br Somalilan",NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"115",0,"Italian Somaliland","It Somalilan",NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"116",97.04,"Rhodesia","Rhodesia",NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"117",62.213,"Japan","Japan",NA,NA,TRUE,2,NA,NA,NA,NA,NA
"118",62.382,"France","France","FR","FRA",TRUE,112,5,7,4,3,14
"119",68.837,"German Empire","Germany",NA,NA,TRUE,187,6,5,13,7,25
"120",169.032,"Arabia (Nejd)","Arabia",NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"121",17.845,"Arabia (Nejd)","Arabia",NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"122",20.717,"Arabia (Nejd)","Arabia",NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"123",0,"Mongolia","Mongolia",NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"124",3452.872,"Russia","Russia","KG",NA,TRUE,159,NA,NA,NA,NA,NA
"125",0,"Sakhalan","Sakhalan",NA,NA,FALSE,NA,NA,NA,NA,NA,NA
